# id: location ID
# date: in the center of the calibration time window (if known) 
# Nr: raw (observed) neutron count rate (cph)
# sensitivity: sensitivity relative to FZJ calibrator (-)
# N: neutron count rate (cph), corrected for sensor efficiency (Nr/sensitivity)
# abshum: mean absolute humidity in calibration period (g/m3)
# fp: mean correction factor for pressure in calibration period (-)
# fh: mean correction factor for humidity in calibration period (-)
# fijung: mean correction factor for temporal variability of incoming neutrons in calibration period, based on JUNG (-)
# phi: temporal correction factor from pressure, humidity, incoming (fh * fp * fijung)
# Nc: neutron count rate (cph), phi-corrected (pressure, humidity, incoming)
# biomass: above-ground dry biomass (kg/m²), treated as 0 if not available
# Nvegc: neutron count rate (cph), corrected for biomass based on Baatz et al., 2015 (cph), Nc / (1 - biomass * 0.9 / 100.)
# Nsim: "neutron intensity" as simulated by PARMA (mean over energy range 1e-6 to 1e-1 MeV)
# fi: scaling factor based on Nsim, obtained by Nsim@Marquardt/Nsim
# Nscaled: neutron count rate (cph), corrected by PARMA (Nvegc * fi, if applicable, otherwise Nc * fi)
# bd: dry soil bulk density (kg/m³)
# theta: average SWC in the sensor footprint, to be used for calibration (m³/m³)
# weq: soil water equivalent of SOM and lattice water (m³/m³)
# thetaeff: apparent SWC (theta + weq, m³/m³)
# landuse: string decribing major landuse
# lon: longitude of location (decimal degree)
# lat: latitude of location (decimal degree)
# alt: altitude of location (m asl)
# tocal: True if row data was used for general N0 calibration
id;date;Nr;sensitivity;N;p0;p;abshum;fp;fh;fijung;phi;Nc;biomass;Nvegc;Nsim;fi;Nscaled;bd;theta;weq;thetaeff;landuse;lon;lat;alt;tocal
ACC001;2017-07-04 12:00:00;2377.7200;1.1470;2072.9904;917.9415;923.2640;9.8163;1.0421;1.0142;0.9870;1.0431;2162.3482;0.0000;2162.3482;33.7866;0.5061;1094.4018;956.2034;0.3710;0.0495;0.4205;Grassland;10.9940;47.6660;867.0000;True
AGCK003;2017-04-03 17:00:00;2896.8947;1.1470;2525.6275;898.7082;898.7601;5.2825;1.0004;0.9927;0.9846;0.9778;2469.2805;0.0000;2469.2805;29.6630;0.5765;1423.4786;1271.5560;0.1949;0.0959;0.2908;Shrubland;22.7170;39.7550;1032.0000;True
AGCK003;2019-09-16 12:00:00;3317.9600;1.1470;2892.7289;898.7082;902.7247;7.5101;1.0316;1.0047;0.9723;1.0078;2915.0137;0.0000;2915.0137;29.6630;0.5765;1680.4327;1302.4124;0.0543;0.0959;0.1502;Shrubland;22.7170;39.7550;1032.0000;True
ALC002;2018-02-05 12:00:00;1663.4800;1.1470;1450.2877;962.2664;963.7200;5.7416;1.0113;0.9796;0.9874;0.9781;1418.6388;0.0000;1418.6388;18.6352;0.9176;1301.7687;1138.7747;0.2261;0.0851;0.3112;Orchard;15.1840;40.3650;453.0000;True
ALC002;2018-04-27 12:00:00;1841.5200;1.1470;1605.5100;962.2664;958.3680;8.9702;0.9702;0.9970;0.9823;0.9502;1525.2970;0.0000;1525.2970;18.6352;0.9176;1399.6402;1232.4001;0.2271;0.0851;0.3122;Orchard;15.1840;40.3650;453.0000;True
ALC002;2018-06-01 12:00:00;1666.4400;1.1470;1452.8684;962.2664;965.0960;13.3235;1.0222;1.0205;0.9696;1.0115;1469.2782;0.0000;1469.2782;18.6352;0.9176;1348.2363;1059.5489;0.2522;0.0851;0.3373;Orchard;15.1840;40.3650;453.0000;True
CBC001;2016-12-04 12:00:00;3736.6400;1.1470;3257.7507;854.3287;861.6600;0.7396;1.0584;0.9832;0.9768;1.0164;3311.4081;0.0000;3311.4081;37.6037;0.4547;1505.8374;1457.3010;0.2077;0.0916;0.2992;Shrubland;34.4980;37.5150;1459.0000;True
CRC001;2015-11-18 15:00:00;569.3077;0.4520;1259.5303;991.0070;999.0385;4.5506;1.0642;0.9727;1.0334;1.0696;1347.2912;0.0000;1347.2912;18.1907;0.9400;1266.5057;1522.7942;0.4105;0.0987;0.5092;Grassland;5.9010;45.2810;230.0000;True
EUC001;2017-01-18 12:00:00;1535.0400;1.1470;1338.3086;1013.4761;1037.1480;3.7568;1.2013;0.9778;0.9830;1.1547;1545.3698;0.0000;1545.3698;16.7948;1.0182;1573.4552;1217.5649;0.1833;0.0232;0.2065;Grassland;0.7850;52.3830;18.0000;True
FEC001;2015-06-15 12:00:00;1732.7600;1.1470;1510.6888;948.5089;946.3040;12.5428;0.9829;1.0265;1.0460;1.0553;1594.3332;0.0000;1594.3332;26.6768;0.6410;1021.9781;741.7792;0.4797;0.0201;0.4997;Gassland;11.0600;47.8320;595.0000;True
